Phone_id,Contact_id,Area_code,Phone_type,Number
1,1,75018.0,Home,732-392-7165
2,2,75062.0,Home,907-913-3698
3,3,75029.0,Home,637-715-3867
4,4,75099.0,Home,359-747-1907
5,5,75061.0,Home,543-710-0843
6,6,,Home,227-992-2900
7,7,75031.0,Home,181-781-9784
8,8,75041.0,Home,871-791-7851
9,9,,Home,933-257-7616
10,10,75027.0,Home,747-303-4705
11,11,75059.0,Home,423-257-0444
12,12,75076.0,Home,537-987-3004
13,13,75013.0,Home,994-189-5386
14,14,75083.0,Home,223-746-7737
15,15,75078.0,Home,769-740-9664
16,16,75046.0,Home,275-477-5499
17,17,75005.0,Home,272-367-4116
18,18,75088.0,Home,770-282-5502
19,19,,Home,131-155-6846
20,20,75042.0,Home,452-967-2050
21,21,75060.0,Home,310-517-1998
22,22,75046.0,Home,905-442-0240
23,23,,Home,886-702-1908
24,24,75099.0,Home,562-617-1312
25,25,75046.0,Home,873-511-6075
26,26,75091.0,Home,826-297-4157
27,27,75083.0,Home,770-453-6125
28,28,,Home,806-105-9954
29,29,75004.0,Home,899-522-4338
30,30,75086.0,Home,993-228-0137
31,31,,Home,939-693-0069
32,32,75060.0,Home,330-860-4567
33,33,75009.0,Home,
34,34,75047.0,Home,189-158-2552
35,35,,Home,929-650-9987
36,36,,Home,713-373-4369
37,37,75037.0,Home,708-580-5566
38,38,75045.0,Home,544-254-3783
39,39,,Home,918-967-1567
40,40,75078.0,Home,441-572-3400
41,41,75011.0,Home,798-797-3341
42,42,75013.0,Home,519-774-5168
43,43,75002.0,Home,808-824-0672
44,44,75041.0,Home,584-539-0112
45,45,75061.0,Home,398-879-3327
46,46,75030.0,Home,930-819-8669
47,47,,Home,146-300-8184
48,48,75071.0,Home,637-650-0978
49,49,75011.0,Home,
50,50,,Home,488-851-7113
51,51,75010.0,Home,771-812-0449
52,52,75002.0,Home,258-263-5860
53,53,,Home,378-873-6862
54,54,75095.0,Home,125-655-6551
55,55,75074.0,Home,320-344-7502
56,56,,Home,614-951-1081
57,57,75067.0,Home,158-791-4110
58,58,75032.0,Home,502-272-1989
59,59,,Home,743-364-4750
60,60,75016.0,Home,801-995-3628
61,61,75011.0,Home,978-461-6856
62,62,75017.0,Home,791-162-2031
63,63,75041.0,Home,968-277-3614
64,64,,Home,798-873-9529
65,65,75002.0,Home,288-674-1492
66,66,75048.0,Home,334-497-2608
67,67,,Home,
68,68,75049.0,Home,203-431-4947
69,69,75059.0,Home,307-758-9076
70,70,75048.0,Home,849-695-9335
71,71,75051.0,Home,748-818-7221
72,72,75023.0,Home,697-516-7673
73,73,75064.0,Home,
74,74,75040.0,Home,359-128-8195
75,75,75081.0,Home,853-669-6031
76,76,75022.0,Home,182-313-3105
77,77,75073.0,Home,645-688-9829
78,78,75067.0,Home,952-872-9308
79,79,75094.0,Home,
80,80,75079.0,Home,896-621-0151
81,81,,Home,301-947-1348
82,82,75006.0,Home,442-776-7096
83,83,75074.0,Home,131-277-8084
84,84,,Home,112-337-2438
85,85,75021.0,Home,467-112-0628
86,86,75053.0,Home,512-999-1443
87,87,75059.0,Home,311-847-9441
88,88,75055.0,Home,322-220-0314
89,89,75067.0,Home,793-596-6729
90,90,75001.0,Home,920-954-7865
91,91,75004.0,Home,996-463-7162
92,92,75047.0,Home,685-563-0088
93,93,75034.0,Home,335-464-4346
94,94,75057.0,Home,289-490-2307
95,95,75055.0,Home,438-145-4987
96,96,,Home,299-709-3929
97,97,75093.0,Home,322-529-5730
98,98,75033.0,Home,554-908-6180
99,99,,Home,298-978-5587
100,100,75013.0,Home,518-928-2083
101,101,75086.0,Home,467-169-7052
102,102,75097.0,Home,601-151-6193
103,103,75094.0,Home,415-761-2375
104,104,75072.0,Home,932-478-6742
105,105,75014.0,Home,612-751-9073
106,106,,Home,738-834-4899
107,107,75061.0,Home,518-553-9464
108,108,,Home,215-217-7070
109,109,75003.0,Home,817-774-4659
110,110,75003.0,Home,985-795-6001
111,111,75072.0,Home,280-593-0508
112,112,,Home,634-832-4961
113,113,,Home,671-420-1296
114,114,,Home,743-968-9698
115,115,,Home,850-168-3428
116,116,,Home,685-794-3792
117,117,75056.0,Home,626-230-5244
118,118,75031.0,Home,189-946-4134
119,119,75088.0,Home,499-521-3027
120,120,75085.0,Home,525-786-1129
121,121,75028.0,Home,162-591-7297
122,122,,Home,734-943-5823
123,123,,Home,927-269-5557
124,124,75097.0,Home,560-540-7010
125,125,,Home,368-393-8119
126,126,75098.0,Home,819-216-7409
127,127,75005.0,Home,510-507-2668
128,128,75007.0,Home,417-939-5637
129,129,75049.0,Home,689-724-6341
130,130,75064.0,Home,659-300-9914
131,131,75004.0,Home,485-509-8914
132,132,75027.0,Home,205-273-2823
133,133,75063.0,Home,739-726-5173
134,134,,Home,561-758-3885
135,135,,Home,780-319-6348
136,136,75052.0,Home,665-863-3496
137,137,75044.0,Home,101-658-4163
138,138,75094.0,Home,965-369-3080
139,139,75068.0,Home,630-176-1993
140,140,75098.0,Home,126-191-0637
141,141,75026.0,Home,399-410-3150
142,142,75044.0,Home,400-632-7435
143,143,,Home,402-749-4109
144,144,,Home,623-440-3069
145,145,75097.0,Home,680-996-8963
146,146,75005.0,Home,741-405-2893
147,147,75033.0,Home,189-144-5588
148,148,75071.0,Home,907-464-2719
149,149,,Home,889-791-3642
150,150,,Home,874-633-0543
151,151,75012.0,Home,277-234-5144
152,152,75085.0,Home,769-583-9706
153,153,75049.0,Home,338-545-2457
154,154,,Home,963-970-8330
155,155,75052.0,Home,259-209-3551
156,156,75003.0,Home,160-914-8157
157,157,75091.0,Home,588-860-2305
158,158,,Home,609-339-6336
159,159,75018.0,Home,219-803-4889
160,160,75043.0,Home,668-695-7537
161,161,,Home,788-965-0073
162,162,75010.0,Home,322-212-6474
163,163,75056.0,Home,681-758-5432
164,164,75054.0,Home,737-458-3193
165,165,75038.0,Home,605-413-5142
166,166,75040.0,Home,913-227-5857
167,167,,Home,207-356-3286
168,168,,Home,726-561-0259
169,169,,Home,729-528-9115
170,170,75055.0,Home,809-251-6239
171,171,,Home,350-841-0515
172,172,75001.0,Home,991-300-9095
173,173,75018.0,Home,945-688-3394
174,174,75069.0,Home,575-837-2710
175,175,,Home,836-247-5742
176,176,75025.0,Home,260-445-9289
177,177,75082.0,Home,991-681-1755
178,178,,Home,530-615-9871
179,179,75001.0,Home,928-280-1718
180,180,75064.0,Home,739-370-4832
181,181,75081.0,Home,288-380-7105
182,182,,Home,882-224-4712
183,183,,Home,141-927-3011
184,184,75095.0,Home,206-601-7607
185,185,,Home,
186,186,75061.0,Home,733-271-6746
187,187,75064.0,Home,294-234-8775
188,188,75080.0,Home,658-428-6437
189,189,75091.0,Home,666-116-3670
190,190,,Home,710-160-0835
191,191,75013.0,Home,155-927-4964
192,192,75058.0,Home,467-144-6719
193,193,75018.0,Home,307-434-2713
194,194,75027.0,Home,119-187-2885
195,195,75085.0,Home,739-246-0573
196,196,,Home,421-829-5450
197,197,75062.0,Home,334-595-0964
198,198,75098.0,Home,542-380-6173
199,199,75083.0,Home,860-312-4413
200,200,75032.0,Home,975-952-1919
201,201,,Home,890-454-6783
202,202,75014.0,Home,676-107-4163
203,203,,Home,589-241-6333
204,204,75019.0,Home,455-443-4902
205,205,,Home,877-939-3738
206,206,75004.0,Home,753-171-5682
207,207,75061.0,Home,356-576-5645
208,208,,Home,786-731-7679
209,209,75045.0,Home,513-711-1607
210,210,75048.0,Home,657-297-0002
211,211,,Home,842-685-8134
212,212,,Home,572-785-8740
213,213,75087.0,Home,789-670-9179
214,214,75026.0,Home,954-560-0159
215,215,75015.0,Home,111-927-8581
216,216,75077.0,Home,
217,217,75060.0,Home,237-677-8793
218,218,75012.0,Home,943-829-3863
219,219,75061.0,Home,346-897-2782
220,220,75082.0,Home,807-509-2962
221,221,,Home,537-449-9605
222,222,,Home,815-680-8501
223,223,,Home,885-336-0223
224,224,75052.0,Home,279-915-7881
225,225,75032.0,Home,874-561-1064
226,226,75045.0,Home,678-756-8685
227,227,75046.0,Home,630-405-4842
228,228,,Home,333-696-7735
229,229,,Home,707-137-5452
230,230,75003.0,Home,996-239-6282
231,231,75023.0,Home,885-591-7975
232,232,75097.0,Home,419-189-5639
233,233,,Home,970-819-3933
234,234,75070.0,Home,122-939-1039
235,235,75025.0,Home,381-747-2286
236,236,75023.0,Home,584-484-5052
237,237,,Home,692-668-4655
238,238,75051.0,Home,530-939-4107
239,239,,Home,159-352-8021
240,240,75052.0,Home,131-454-9471
241,241,,Home,883-698-2435
242,242,75030.0,Home,223-145-1656
243,243,75046.0,Home,999-916-5458
244,244,75089.0,Home,226-203-9541
245,245,,Home,728-170-8971
246,246,75026.0,Home,510-441-3400
247,247,,Home,704-231-1831
248,248,,Home,927-393-3874
249,249,75040.0,Home,911-980-1743
250,250,75063.0,Home,777-692-0874
251,251,75065.0,Home,652-464-2372
252,252,75014.0,Home,315-345-3420
253,253,75012.0,Home,358-481-9889
254,254,75095.0,Home,842-207-9733
255,255,,Home,864-714-1199
256,256,,Home,162-326-8857
257,257,75073.0,Home,476-246-1194
258,258,,Home,
259,259,,Home,741-804-6153
260,260,75010.0,Home,283-519-9469
261,261,,Home,945-878-4565
262,262,75083.0,Home,246-174-7624
263,263,,Home,790-858-7895
264,264,75038.0,Home,538-789-7767
265,265,,Home,
266,266,,Home,245-116-9013
267,267,75019.0,Home,337-365-4743
268,268,75081.0,Home,772-450-3153
269,269,75006.0,Home,682-336-4639
270,270,75084.0,Home,586-386-6331
271,271,,Home,321-560-5572
272,272,75066.0,Home,764-228-2895
273,273,75008.0,Home,547-651-5152
274,274,,Home,111-793-8014
275,275,75092.0,Home,895-547-1737
276,276,75029.0,Home,184-223-7933
277,277,75015.0,Home,760-300-2633
278,278,75028.0,Home,901-126-9300
279,279,75071.0,Home,652-311-2308
280,280,75015.0,Home,365-532-8461
281,281,75083.0,Home,519-708-3846
282,282,,Home,106-456-2187
283,283,75031.0,Home,752-383-6580
284,284,75001.0,Home,
285,285,75055.0,Home,773-473-4110
286,286,75027.0,Home,538-587-2812
287,287,75050.0,Home,700-525-5413
288,288,75090.0,Home,260-897-3964
289,289,75090.0,Home,433-532-3375
290,290,75003.0,Home,901-256-3152
291,291,,Home,138-663-4933
292,292,75047.0,Home,
293,293,,Home,739-816-0099
294,294,,Home,953-634-4168
295,295,75040.0,Home,921-335-4238
296,296,,Home,582-587-1230
297,297,75070.0,Home,
298,298,,Home,732-280-5706
299,299,75021.0,Home,653-199-8225
300,300,75097.0,Home,846-766-7200
301,301,,Home,896-317-8751
